Hour , Focal Depth ,Total Deaths
18,74,2
13,74,2
23,33,30
5,37,3
20,25,1
2,104,1
14,40,4
14,33,3
20,69,3
19,27,12225
17,5,300
2,33,4
4,5,1070
22,90,8
12,33,107
3,33,139
5,33,1
4,40,26
21,10,4
0,6,71
3,34,32
15,59,7
10,23,125
3,18,2
19,28,1
16,48,7
10,23,80
0,64,12
21,38,4
2,20,1
22,80,5000
5,33,71
2,13,10
23,10,300
22,15,2
0,65,2
2,33,1
2,33,216
9,33,8
22,15,20
17,34,2
0,7,52
20,36,270
10,13,10488
7,15,700
8,38,2000
22,10,4
9,35,40
22,5,3000
20,33,12
4,10,1
17,31,10000
1,23,2
1,3,26
21,20,1086
5,40,15
9,18,3
2,27,1
0,16,4
17,651,1
9,33,3
17,8,18
4,25,82
7,34,2
18,33,24
14,8,65
14,35,1377
3,58,83
6,47,3
1,7,2
2,33,1
2,11,4
9,33,4
15,47,3
16,36,3
14,33,1
6,5,10000
3,48,27
0,29,2
23,2,27
12,22,3
8,33,47
4,27,1
7,30,1
9,26,2311
8,50,1
14,2,2
9,19,1
16,5,4
19,33,6000
7,40,573
19,23,242769
16,33,8000
16,16,5
3,10,11
2,33,133
8,33,4
19,89,1641
21,37,1
21,29,167
13,41,2
23,33,34
4,33,18
1,37,3
6,33,189
9,13,70
23,31,584
3,14,3
8,44,28
20,3,50
14,10,17
15,33,20000
19,18,9
7,33,76
11,33,2
9,33,200
10,53,18
11,49,5
6,10,131
9,25,22
10,11,41
5,5,115
21,16,5
1,38,2
14,58,4
15,62,30
5,40,1
2,33,350
23,108,72
17,10,17
0,33,8
15,4,57
3,5,1
2,14,1
14,18,200
5,22,2
21,25,15
12,10,5000
6,71,7
15,33,305
21,33,150
17,10,12
20,33,22
21,29,1
15,31,2
0,38,8
7,33,3000
17,24,10
7,33,220
4,54,15
20,33,6
4,9,1879
23,10,10
6,82,43
5,12,3
9,5,2800
0,36,500
12,33,13
18,24,12
2,24,104
17,33,2
3,25,1
12,29,16
18,15,5
0,33,2
0,10,2
4,11,443
15,33,2
17,208,4
5,12,3
17,10,3
10,14,3
12,30,1
11,24,5
19,46,20
23,10,29
20,33,2
3,5,12000
5,5,23
12,7,71
2,10,10
13,28,9500
19,10,6
8,33,3
2,10,1
19,39,2
15,16,3
20,51,16
8,10,4
5,19,1
13,19,2
7,10,3
21,132,4
17,7,1100
14,21,3
11,10,3
17,32,1
14,10,8
1,5,2
14,33,2
13,18,738
20,13,11
2,15,1
0,19,62
14,10,29
3,33,4
23,10,12
13,22,2
22,39,1
13,18,2
13,26,3
9,8,126
7,10,2
2,24,200
1,26,1
14,217,43
11,17,3
2,5,4
23,5,2
9,5,10
8,12,4
0,11,19
6,13,2
14,20,1
23,142,3
15,5,9
15,21,1
4,20,8063
17,33,2
10,33,1
10,33,1
5,31,4
9,26,2
13,88,3
21,10,4
22,21,28
0,10,11
8,9,5000
1,58,3
11,18,6
17,27,653
8,50,4
16,23,3
2,27,75
0,9,4
0,40,170
0,18,1
3,11,8
13,22,545
14,10,5
14,12,2
13,17,231
0,13,2
19,34,1
22,7,4
2,25,60
12,18,60
2,20,9
8,6,6
3,13,2
3,59,4
18,18,238
1,11,2
9,9,3
1,9,171
13,14,11
21,17,1
19,32,81
12,27,3
15,17,20
18,74,4
21,10,2
21,13,4
22,13,4500
1,24,2
22,10,81
4,10,12
11,11,322
15,28,4
1,33,12
10,10,11000
21,33,3
12,10,1100
5,15,4
7,10,4
22,36,56
19,10,4
19,20,81
8,5,15
7,33,3
1,58,15700
11,54,1
14,33,2323
15,33,3
8,25,2205
18,33,3
9,33,3
13,152,1
2,39,2
13,33,5
11,33,12000
13,10,3
14,33,7000
5,33,1
19,15,21100
6,87,2
23,33,26
9,33,50
14,10,2
0,13,73342
8,10,1
11,10,143
11,13,7
17,33,82000
16,61,35
2,33,1
13,62,1100
16,33,1
13,33,10
17,19,3
14,56,2800
17,10,24
23,33,7
22,33,2
4,26,4
3,10,3
23,33,1
18,33,2
15,10,1
0,10,1
7,10,1
19,33,7
21,10,1390
13,33,1
2,34,3
4,10,4
18,50,31
17,30,11
16,10,6
17,60,844
3,16,339000
14,10,315
0,33,4
18,10,1
21,33,2
14,62,4
20,33,4
13,62,300
2,33,4
5,10,1
17,21,2
6,33,3
11,11,1
20,15,1001
8,109,2
7,5,44
13,33,1
12,226,300
21,31,15
14,8,4
6,33,5
4,10,50
16,62,3
10,10,1
19,33,2
17,10,5
15,10,2
4,22,1
2,10,261
5,10,48
1,5,2
10,10,900
6,11,2
10,10,4
22,33,11
1,30,3
21,33,100
4,10,2
13,22,2
17,33,3
2,24,4
11,10,2
2,11,261
3,10,5
2,33,4
0,10,2
0,10,177
15,10,1
18,12,4
19,31,20
7,18,1
13,33,2
17,10,1
15,10,16
15,10,4
23,10,2
5,10,2
21,10,10
11,16,3
3,10,1
12,33,3
18,33,3
17,35,1
1,10,11
23,33,1
7,33,2
1,10,4
21,17,37
8,27,2
10,11,1420
14,56,5
2,10,3
7,45,2
20,10,1
2,14,46
22,5,18
13,8,1
4,5,1
8,10,2
7,5,1
10,6,4
11,22,1
8,16,40
21,10,34
4,36,1
2,10,32
0,30,227899
20,11,1
16,41,2
5,15,1
2,14,612
16,30,1313
22,116,11
15,16,1
15,48,1
1,115,3
3,26,3
21,10,1
11,10,1
12,22,6
21,225,100
7,44,1
0,30,2
22,11,4
7,10,1
6,30,4
19,10,4
7,18,1
1,7,3
22,13,4
7,5,2
8,34,802
1,56,22
0,34,3
5,22,1
18,52,1
14,43,1
12,10,2
11,22,4
3,19,67
13,43,1
0,8,1
20,24,54
17,37,10
21,5,3
1,10,9
2,5,2
8,2,9
0,0,3
1,31,1
11,34,25
6,10,1
9,10,1
4,72,1
5,7,1
16,35,3
23,10,1
19,156,1
2,10,1
7,20,1
3,12,1
22,10,1
22,34,2
17,20,1
7,10,38
6,10,1
2,10,1
8,26,3
6,19,87652
19,9,2
8,10,8
20,4,1
23,8,13
0,33,1
9,123,1
15,108,1
7,10,1
9,6,4
12,1,5
8,17,43
3,25,2
11,12,7
21,10,1
15,27,74
8,12,9
9,16,13
23,15,166
17,30,6
18,25,2
19,17,5
19,14,23
1,9,306
17,15,1
21,6,19
8,10,7
17,15,1
13,10,2
20,40,1
7,46,81
8,14,11
17,18,192
10,81,1117
1,10,3
19,18,5
17,26,1
19,18,2
21,2,2
3,8,1
23,6,3
0,65,1
21,13,316000
9,27,7
21,10,1
6,23,500000
15,10,2
2,12,3
22,4,2
23,17,2220
20,13,11
12,2,2
3,18,17
7,20,1
19,10,1
19,7,3
0,35,4
11,27,1
21,33,1
14,20,431
0,1,2
18,12,7
20,68,200
13,85,1
4,26,25
5,30,18453
13,8,75
14,42,3
8,11,7
16,1,10
21,7,2
2,6,1
17,91,10
12,50,111
18,9,1
10,16,4
18,24,1
0,10,2
2,5,2
19,5,40
12,32,3
1,54,2
3,11,51
22,41,2
8,20,10
3,29,2
12,43,2
23,10,1
2,6,7
5,16,75
7,10,4
12,10,1
0,22,1
9,10,4
14,35,2
3,10,81
3,14,1
16,24,4
1,14,26
17,14,8
22,12,1
1,24,10
14,145,2
2,19,3
11,12,700
10,80,40
0,0,14
0,14,196
9,64,18
6,15,95532
2,15,1
14,10,3
5,17,4
7,13,42
23,8,4
0,10,5
11,15,4
7,15,22
0,20,3
5,48,1
13,16,8
20,10,1
23,20,4
23,13,4
11,7,1
22,15,2
9,10,1
11,60,5
10,95,1
4,10,6
10,10,1
19,5,2
10,11,3
2,43,8
13,11,1
3,40,1
8,15,1
13,10,2
18,11,1
21,7,4
6,10,2
1,29,1
6,15,8200
7,15,117
23,10,23
1,20,3
20,19,3
1,10,3
22,22,15
11,14,1
9,213,300
6,14,1
7,26,2
19,203,2
23,55,13
19,23,116
10,212,6
23,19,4
16,31,1
2,10,4
1,10,297
10,84,3
12,40,19
11,10,1
19,10,4
