Hour , Magnitude ,Total Damage
20,6.8,3
19,7.2,30
8,7.3,1
17,5.4,5
4,6,1000
3,9.2,400
4,7.5,80
21,5.5,2
5,8.7,0.01
17,6.3,3
23,6,1
15,6.6,28
10,6,35
2,6.3,4
1,7,3
10,6.3,1
14,5.9,14
21,8.1,3
8,7.8,1
22,6.8,300
23,6.5,140
22,5.3,1
10,4.6,2
2,6,320
22,7.2,0.6
19,4.6,1
0,7.5,1
0,8.2,131
20,7.3,8
22,7.4,2
10,7.3,35
8,6.6,200
0,7.4,2
2,7.8,2
9,6.2,0.32
7,7,1
20,6.3,24
4,4.8,8.35
22,7.1,2
1,4.8,1
21,7.4,55.6
9,5.7,1
20,7.9,50000
22,7,1
0,6.7,3
12,6.6,0.4
17,7.3,1.75
4,7.6,6
18,4.6,41
14,6.5,505
14,5.2,6
3,7.8,236.4
6,6.2,2968
21,7.5,390
8,7.5,64
8,6.5,100
20,6.5,5.75
3,7.7,5
8,6.3,3
14,8.1,4
12,6.2,4
15,6.9,1
20,5.6,3
14,7.7,4
9,7.5,4
20,6.5,4
7,6.5,195
19,7.5,5600
16,8,134
19,7.5,2000
21,7.3,0.1
13,5.9,3
6,8,1.2
9,7.4,80
3,6.6,3
8,7.7,865
20,6.4,250
15,7.8,50
11,7.6,30
6,6.9,2700
9,5.8,4.15
20,6.5,2
15,6.1,16
23,6.4,20
7,7.7,4
19,6.3,3
16,6.7,3
19,5.9,11.5
15,5.2,2000
20,5.8,5
16,6.1,2
2,6.4,5
5,5.4,3
18,5.1,1
14,6.5,245
15,5.6,2
17,6,2
12,7.7,5200
6,4.9,1
12,5.2,3
15,6.7,5
21,6.8,5
17,4.6,0.5
20,6.7,812
7,6.7,5
17,5.2,5
17,7.1,4
2,5.5,5
7,5.9,5
4,5.4,5
5,6,1
16,5.5,1
4,3.5,3.3
6,6.2,5
23,5.5,12
9,6,2000
0,6.6,1
12,5.9,1.45
18,4.7,0.5
11,4.9,61
13,4.9,4
0,4.6,5
2,7.3,2
2,6.6,1
12,6.5,0.5
23,6.2,1
2,7.7,800
17,6.2,5
15,6.1,1
2,5,1
12,6.5,2.227
18,7.3,1
14,7.3,2
21,5.3,2200
0,5,50
16,5,2
16,6.7,6.5
4,6.2,8
23,7.2,3
15,6.6,0.5
14,5.8,1
17,6.1,5
20,7,5
21,6.1,8
5,5.3,25
17,5.8,5
6,5.2,1
23,6.1,43
13,6.4,38
9,5.3,1
23,5.6,2
3,6.9,238
20,5.3,2
22,8,2575
19,6.5,1
1,7.5,2
5,5.8,1
1,6.1,1
4,7.2,1
7,6.6,1
12,7.5,5
13,8.1,4000
15,5.9,80
2,6,1
11,5,2
20,4.6,22
7,5.3,60
3,5.9,2
13,6.2,1
3,7.1,0.5
9,6,4.5
14,6.2,1
21,6.9,3
17,5.8,300
17,5.4,1500
9,5.5,1
21,7.8,1
13,5.5,1
14,5.6,5
5,5,2
1,6.6,25
3,6.7,1
19,6.6,22
6,4.6,1
15,6.9,3
15,6.4,1
13,6.2,12
14,5.7,358
10,4.8,2
1,6.2,3
1,6.5,3
20,6.2,1
23,5.7,1
14,6,2
13,7.3,269
1,4.6,71
6,6.6,1
21,6.1,100
20,6.2,164
0,5.6,91
11,6.3,1
0,6.9,5600
3,4.7,5
4,5.9,1
18,7.5,3
23,5.4,1000
23,5.5,30
19,6.1,40
13,7,1
9,6.9,58.35
2,6.5,1
10,6.7,700
7,7.1,1
0,4.8,103
7,7.8,3000
9,6.1,1
2,4.4,1
4,6,250
18,6.7,2
2,6.8,32
0,5.3,500
3,6.2,1
6,5.9,2
17,5.7,3
18,5.5,3
15,6.4,1
4,6.7,252
3,6.2,36
0,6.1,200
11,5.5,1
14,5.1,104
11,6.5,3
10,5.6,30
19,4.7,30
9,5.1,3
9,6.2,200
17,5,2
1,4.4,1
17,6.9,750
1,5.2,1
4,6.3,1
18,7.1,2
8,6.2,31
12,6,100
16,7,1
11,7.6,3
15,6.7,2
2,7.5,130
0,7.7,30
13,5.3,1200
8,7,1
15,7.4,115
5,7.8,2103
20,5.8,1
13,7.7,1207
8,7.8,1
22,6.2,4
2,6.9,5
12,6.7,40000
23,6.2,2
17,6.9,2000
8,6.1,1.4
12,6.1,3
18,7.8,2.2
0,8.2,3
9,5.9,2
19,7.1,3.7
12,7.8,170.4
2,5.3,3
20,6.9,36896
8,6.6,25
13,7.1,750
0,6.5,2
21,6.8,3
15,6.4,3
18,6.8,4
15,8,200
22,6.2,80
8,7.9,2
11,6.6,506
5,8.2,3
12,7.5,2
3,6,330
10,6.5,1948
21,7.1,3
6,5.6,6
23,5.9,1
9,6.7,25
7,7.2,4
22,5.8,143
19,7,81
9,6,2
1,5.9,3
1,7.1,300
11,6.1,3
3,5.7,4
8,6.6,27
12,6.4,1
19,6.6,50
7,5.2,1
15,5.8,1
4,6.6,3
6,6.6,4
13,6.3,4
5,6.2,100
18,7.2,1
22,5.5,17
11,5.6,1543
14,7.7,107
7,4.5,22.6
18,6.2,700
13,4.8,1
14,6,500
19,6.6,394
6,6.8,1
9,5.4,18
10,4.2,3
0,7.6,50000
11,6,4200
17,7.7,8700
16,7.5,164.8
9,7.2,4
2,5.9,0.786
13,4.4,30
13,5.3,44
14,5.7,171
16,7.2,4948
17,5.7,1
18,7.3,1
14,6.5,220
17,5.6,60.929
23,5.9,73.5
22,5.3,1
23,4.1,1
16,7.9,4
2,6,80
15,6.5,1
3,6.4,6
21,6.8,8
13,4.2,43
8,5,50
2,6.5,1
4,6.7,3
17,7.7,753
3,7.7,166836
14,6.6,348.5
0,5.6,3
18,6.8,400
21,5.5,36
20,8.4,3
9,7.6,1
17,7.2,2
21,7.5,1.714
14,6.1,3
16,6.6,1
5,4.5,55
2,6.5,300
0,6.5,11
1,6,500
18,7.6,70
23,4.8,1
10,7.6,632
10,5.7,3
22,7.9,1
21,6.3,40
4,5.7,1
17,5.2,2
5,6.1,2
0,5.7,2
19,7,7
17,5.7,200
13,6.8,1
15,5.9,75
15,5.5,3
5,6.3,1
10,5.4,3
4,6.4,1
19,8.3,90
12,5.8,1
2,5.1,30
18,5.6,1
4,6.8,1
19,6.6,40
1,6.6,4
20,5.8,1
18,4.4,3
8,5.3,1
10,5.4,40
2,6.4,926
1,5.4,2
21,6.5,1
12,6.3,400
13,5.2,1
4,5.4,1
15,5.7,1
14,7.4,40
13,4.8,1
8,6.6,28000
9,7.2,10
11,6.3,1
4,5,2
2,7.1,55
18,7,24
8,5.4,2
5,5.8,3
0,9.1,10000
10,4.3,2
7,5.6,1
9,4.9,45
1,6.6,3
0,5.2,4
10,6,2
21,6.5,1
7,5.3,4
1,6.1,4
23,7.6,55
22,6.3,4
8,7.7,55
17,6.7,73
21,5.8,2
21,6.1,310
1,6.6,12500
23,4.3,3
23,8,1090
4,5,1
7,5.1,10
15,7.7,2
5,4.8,1
18,5.9,4
3,5.9,1
0,4.5,2
6,7.9,86000
12,6.3,3
0,5.5,1
1,6.3,4
1,6.3,2500
11,5.7,2
17,8.1,285
10,7.5,2200
1,6.6,10
19,6.6,2.43
2,5.1,1.5
0,6.5,21.8
21,7,8000
20,7,1
6,8.8,12000
0,6.3,1000
2,6.1,2
22,7.2,1150
23,6.9,500
0,4.9,1
16,7,6500
21,5.2,1
14,7.8,39
23,6.1,4
5,9,220085.456
13,6.8,3.6
2,6,3000
19,6.1,2
10,5.7,1
12,6.9,22.3
10,7.1,4
0,5.6,10.5
3,6.7,15
18,7.4,1
22,7.2,1
10,5.4,8
12,5.4,1
7,5.9,350
21,6.3,68
12,6.5,3000
9,6.3,1
12,7.6,1
3,5.6,1000
16,7.3,3
2,6,2
11,6.3,850
0,2.1,100
6,5.7,90
14,5.7,1
23,6,4
0,6.6,1
11,7.7,3
13,6.1,178
23,6.1,3
5,5.1,1
16,4.1,1.36
9,6.9,3
8,6.1,4
10,6,3
13,6.2,1
6,5.2,14.65
6,7.8,10000
22,8.3,600
7,6.5,4
16,7,4
23,7.8,4
19,6.6,1
